City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Boffa,GN,76.03,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
400,Sampit,ID,79.48,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
404,Angoram,PG,77.61,overcast clouds,-4.0625,144.0661,
405,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
407,Vila Velha,BR,75.2,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
410,Marawi,PH,82.0,broken clouds,7.9986,124.2928,Derogongan Residence
412,Pizarro,CO,79.0,overcast clouds,4.9533,-77.366,Hotel Limonar
419,Chabahar,IR,80.78,overcast clouds,25.2919,60.643,هتل گدروشیا
424,Antunez,MX,80.6,clear sky,19.0167,-102.2,
425,Garowe,SO,77.49,scattered clouds,8.4054,48.4845,Curubo Hotel
427,Mogadishu,SO,82.62,overcast clouds,2.0371,45.3438,Hotel Juba
428,Tuban,ID,78.01,clear sky,-6.8976,112.0649,Hotel Mustika
431,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
432,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
435,Witu,KE,77.79,overcast clouds,-2.3889,40.4382,New City Guest House
436,Basco,PH,76.24,broken clouds,20.4487,121.9702,Nathaniel's Lodge
441,Faanui,PF,79.86,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
442,Ilkal,IN,84.9,broken clouds,15.9667,76.1333,Shri Annapurna Lodge
448,Poum,NC,78.31,overcast clouds,-20.2333,164.0167,Gîte kajeon
457,Bowen,AU,75.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
460,Bartica,GY,77.0,broken clouds,6.4,-58.6167,Relax Inn Hotel
461,Vega De Alatorre,MX,82.72,broken clouds,20.0333,-96.6333,El Polo Norte
465,Andros Town,BS,79.32,few clouds,24.7,-77.7667,Hanks place
467,Makakilo City,US,84.2,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
468,Biloli,IN,83.12,clear sky,18.7667,77.7333,Abdul Kareem Bhai Samosa Mirchi special
469,Terra Santa,BR,76.53,broken clouds,-2.1042,-56.4869,Hotel Sarah
473,Lamu,KE,80.04,overcast clouds,-2.2717,40.902,Lamu House
474,Siddipet,IN,79.39,clear sky,18.1,78.85,Roads And Buildings (R&B) Guest House
477,Chirongui,YT,80.6,clear sky,-12.9319,45.1483,La Villa Mahatsara
480,Bandar-E Lengeh,IR,80.65,clear sky,26.5579,54.8807,کافی نت پارس
481,Waingapu,ID,80.89,few clouds,-9.6567,120.2641,Pondok Wisata Elim
482,Odienne,CI,78.21,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
483,Ridgecrest,US,78.8,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
487,Keta,GH,78.8,moderate rain,5.9179,0.9879,A&Y Wild Camp Ghana
488,Madras,IN,82.4,mist,13.0878,80.2785,City home
489,Tessalit,ML,87.06,clear sky,20.1986,1.0114,
492,Kolokani,ML,89.73,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
495,Sola,VU,83.19,light rain,-13.8833,167.55,Leumerus Bungalows
500,Punta,PH,83.98,scattered clouds,8.9897,125.34,Vyjannex boarding house
505,Kirakira,SB,85.19,overcast clouds,-10.4544,161.9205,SanBiz Lodge
508,Alofi,NU,84.2,broken clouds,-19.0595,-169.9187,Taloa Heights
509,Yulin,CN,76.57,overcast clouds,22.6333,110.15,罗弟天海大厦
511,Sainte-Marie,RE,75.2,light rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
513,Cabadiangan,PH,82.51,overcast clouds,9.7531,122.4739,Kipot
520,Wiwili,NI,77.0,scattered clouds,13.6268,-85.8254,Hospedaje gladita
523,Kochi,IN,77.0,mist,9.9399,76.2602,Hotel Abad
527,Jaffna,LK,81.1,few clouds,9.6685,80.0074,Green Grass Hotel & Restaurant
529,Port Moresby,PG,78.8,haze,-9.4431,147.1797,Lamana Hotel
543,Mae Hong Son,TH,77.85,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
546,Ahome,MX,84.2,clear sky,25.9167,-109.1833,Rancho El Sauce y la Palma
550,Providencia,MX,88.0,few clouds,28.7167,-111.5833,
554,Sao Paulo Do Potengi,BR,80.6,clear sky,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
555,San Pedro,PH,82.99,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
557,Karaton,ID,80.01,haze,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
569,Doha,QA,81.0,clear sky,25.2867,51.5333,Movenpick Hotel Doha
577,Harsud,IN,84.58,broken clouds,22.1,76.7333,Tortoise Tapu (Anay)
579,Alyangula,AU,77.0,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
581,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
589,Valle Hermoso,MX,87.8,broken clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
