City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Naryan-Mar,RU,2021-04-19 23:31:44,67.6713,53.087,26.82,93,93,11.14
203,Naze,JP,2021-04-19 23:31:44,28.3667,129.4833,69.8,56,20,11.5
204,Damara,CF,2021-04-19 23:31:45,4.9608,18.7035,82.4,74,86,5.97
205,Srednekolymsk,RU,2021-04-19 23:31:45,67.45,153.6833,33.67,99,100,5.32
206,Mar Del Plata,AR,2021-04-19 23:29:11,-38.0023,-57.5575,68.0,82,0,10.36
207,Pekan,MY,2021-04-19 23:31:46,3.4836,103.3996,75.2,94,20,4.07
208,Ostrovnoy,RU,2021-04-19 23:31:46,68.0531,39.5131,34.16,89,68,13.65
209,Ayr,GB,2021-04-19 23:31:47,55.4627,-4.6339,48.2,66,0,1.14
210,Lastoursville,GA,2021-04-19 23:31:47,-0.8143,12.7287,71.98,98,100,2.59
211,Tiksi,RU,2021-04-19 23:31:48,71.6872,128.8694,3.43,96,86,2.1
212,Kahului,US,2021-04-19 23:31:48,20.8947,-156.47,84.2,51,40,5.75
213,Saldanha,ZA,2021-04-19 23:31:48,-33.0117,17.9442,66.2,59,6,1.14
214,Lanivtsi,UA,2021-04-19 23:31:49,49.8633,26.0908,43.3,84,100,5.82
215,Provideniya,RU,2021-04-19 23:31:50,64.3833,-173.3,32.0,59,0,11.18
216,San Juan De La Maguana,DO,2021-04-19 23:31:50,18.8059,-71.2299,82.4,74,20,11.5
217,Tim,RU,2021-04-19 23:31:50,51.6222,37.1244,39.2,93,93,4.47
218,Port Hardy,CA,2021-04-19 23:30:05,50.6996,-127.4199,57.2,72,40,12.66
219,Barra,BR,2021-04-19 23:31:51,-11.0894,-43.1417,72.86,86,100,3.8
220,Treviglio,IT,2021-04-19 23:31:51,45.5238,9.5895,53.01,81,0,5.75
221,Trairi,BR,2021-04-19 23:31:52,-3.2778,-39.2689,75.52,87,93,2.1
222,Banff,CA,2021-04-19 23:27:42,51.1762,-115.5698,41.0,33,59,6.91
223,Morro Bay,US,2021-04-19 23:31:52,35.3658,-120.8499,77.0,59,1,20.71
224,Simav,TR,2021-04-19 23:31:53,39.0882,28.9777,44.35,80,60,3.36
225,Macau,MO,2021-04-19 23:31:53,22.2006,113.5461,71.6,78,40,18.41
226,Mandali,IQ,2021-04-19 23:31:53,33.7499,45.5541,81.43,26,98,9.06
227,Buckeye,US,2021-04-19 23:30:01,33.3703,-112.5838,89.01,9,0,9.22
228,Ribeira Grande,PT,2021-04-19 23:31:54,38.5167,-28.7,62.53,90,95,19.15
229,Nouadhibou,MR,2021-04-19 23:31:54,20.931,-17.0347,64.4,88,25,17.27
230,Filingue,NE,2021-04-19 23:31:55,14.3521,3.3168,91.85,29,76,9.69
231,Sabang,ID,2021-04-19 23:31:55,5.8933,95.3214,82.71,70,100,17.49
232,Arinos,BR,2021-04-19 23:31:56,-15.9169,-46.1056,74.26,65,70,3.09
233,Sao Pedro Do Sul,BR,2021-04-19 23:31:56,-29.6206,-54.1789,66.2,77,0,4.61
234,Bathsheba,BB,2021-04-19 23:31:56,13.2167,-59.5167,78.8,61,20,19.57
235,Takab,IR,2021-04-19 23:31:57,36.4009,47.1133,55.18,46,62,2.3
236,Klaksvik,FO,2021-04-19 23:31:57,62.2266,-6.589,37.4,93,75,2.3
237,Palmer,US,2021-04-19 23:31:57,42.1584,-72.3287,59.0,47,75,10.36
238,Lompoc,US,2021-04-19 23:31:58,34.6391,-120.4579,57.99,72,1,12.66
239,San Quintin,MX,2021-04-19 23:29:18,30.4833,-115.95,71.71,43,0,11.63
240,Sao Miguel Do Araguaia,BR,2021-04-19 23:31:58,-13.275,-50.1628,76.17,74,76,1.74
241,Sao Joao Da Barra,BR,2021-04-19 23:31:59,-21.6403,-41.0511,72.1,88,61,8.12
242,Payson,US,2021-04-19 23:31:59,40.0444,-111.7321,59.0,31,75,27.63
243,San Patricio,US,2021-04-19 23:31:59,28.017,-97.5169,68.0,63,90,11.5
244,Viedma,AR,2021-04-19 23:32:00,-40.8135,-62.9967,75.36,58,29,18.19
245,Lavaltrie,CA,2021-04-19 23:28:27,45.8834,-73.2824,53.6,66,96,5.75
246,Prince Rupert,CA,2021-04-19 23:31:35,54.3161,-130.3201,64.4,20,1,5.75
247,Capreol,CA,2021-04-19 23:32:00,46.706,-80.9225,42.01,93,75,12.66
248,Hualmay,PE,2021-04-19 23:32:01,-11.0964,-77.6139,68.52,83,85,9.46
249,Qujing,CN,2021-04-19 23:32:01,25.4833,103.7833,60.04,60,0,12.84
250,Leningradskiy,RU,2021-04-19 23:32:02,69.3833,178.4167,24.13,80,5,6.69
251,Roald,NO,2021-04-19 23:32:02,62.5833,6.1333,42.01,75,54,6.91
